Date,ISO,Country,Status
17/02/2020,CHN,China,Partially open
17/02/2020,MNG,Mongolia,Closed due to COVID-19
18/02/2020,CHN,China,Partially open
18/02/2020,MNG,Mongolia,Closed due to COVID-19
19/02/2020,CHN,China,Partially open
19/02/2020,MNG,Mongolia,Closed due to COVID-19
20/02/2020,CHN,China,Partially open
20/02/2020,MNG,Mongolia,Closed due to COVID-19
21/02/2020,CHN,China,Closed due to COVID-19
21/02/2020,MNG,Mongolia,Closed due to COVID-19
22/02/2020,CHN,China,Closed due to COVID-19
22/02/2020,MNG,Mongolia,Closed due to COVID-19
23/02/2020,CHN,China,Closed due to COVID-19
23/02/2020,MNG,Mongolia,Closed due to COVID-19
24/02/2020,CHN,China,Closed due to COVID-19
24/02/2020,ITA,Italy,Partially open
24/02/2020,MNG,Mongolia,Closed due to COVID-19
24/02/2020,SMR,San Marino,Closed due to COVID-19
25/02/2020,CHN,China,Closed due to COVID-19
25/02/2020,ITA,Italy,Partially open
25/02/2020,MNG,Mongolia,Closed due to COVID-19
25/02/2020,SMR,San Marino,Closed due to COVID-19
26/02/2020,BHR,Bahrain,Closed due to COVID-19
26/02/2020,CHN,China,Closed due to COVID-19
26/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
26/02/2020,ITA,Italy,Partially open
26/02/2020,MNG,Mongolia,Closed due to COVID-19
26/02/2020,SMR,San Marino,Closed due to COVID-19
27/02/2020,BHR,Bahrain,Closed due to COVID-19
27/02/2020,CHN,China,Closed due to COVID-19
27/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
27/02/2020,ITA,Italy,Partially open
27/02/2020,MNG,Mongolia,Closed due to COVID-19
27/02/2020,PAK,Pakistan,Partially open
27/02/2020,SMR,San Marino,Closed due to COVID-19
28/02/2020,BHR,Bahrain,Closed due to COVID-19
28/02/2020,CHN,China,Closed due to COVID-19
28/02/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
28/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
28/02/2020,IRQ,Iraq,Partially open
28/02/2020,ITA,Italy,Partially open
28/02/2020,MNG,Mongolia,Closed due to COVID-19
28/02/2020,PAK,Pakistan,Partially open
28/02/2020,SMR,San Marino,Closed due to COVID-19
28/02/2020,USA,United States of America,Partially open
28/02/2020,VNM,Viet Nam,Partially open
29/02/2020,BHR,Bahrain,Closed due to COVID-19
29/02/2020,CHN,China,Closed due to COVID-19
29/02/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
29/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
29/02/2020,IRQ,Iraq,Partially open
29/02/2020,ITA,Italy,Partially open
29/02/2020,MNG,Mongolia,Closed due to COVID-19
29/02/2020,PAK,Pakistan,Partially open
29/02/2020,SMR,San Marino,Closed due to COVID-19
29/02/2020,USA,United States of America,Partially open
29/02/2020,VNM,Viet Nam,Partially open
1/3/2020,BHR,Bahrain,Closed due to COVID-19
1/3/2020,CHN,China,Closed due to COVID-19
1/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
1/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
1/3/2020,IRQ,Iraq,Partially open
1/3/2020,ITA,Italy,Partially open
1/3/2020,KWT,Kuwait,Closed due to COVID-19
1/3/2020,MNG,Mongolia,Closed due to COVID-19
1/3/2020,PAK,Pakistan,Partially open
1/3/2020,SMR,San Marino,Closed due to COVID-19
1/3/2020,USA,United States of America,Partially open
1/3/2020,VNM,Viet Nam,Partially open
2/3/2020,ARM,Armenia,Closed due to COVID-19
2/3/2020,BHR,Bahrain,Closed due to COVID-19
2/3/2020,CHN,China,Closed due to COVID-19
2/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
2/3/2020,GEO,Georgia,Closed due to COVID-19
2/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
2/3/2020,IRQ,Iraq,Partially open
2/3/2020,ITA,Italy,Partially open
2/3/2020,JPN,Japan,Closed due to COVID-19
2/3/2020,KOR,Republic of Korea,Closed due to COVID-19
2/3/2020,KWT,Kuwait,Closed due to COVID-19
2/3/2020,LBN,Lebanon,Closed due to COVID-19
2/3/2020,MNG,Mongolia,Closed due to COVID-19
2/3/2020,PAK,Pakistan,Partially open
2/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
2/3/2020,SMR,San Marino,Closed due to COVID-19
2/3/2020,USA,United States of America,Partially open
2/3/2020,VNM,Viet Nam,Partially open
3/3/2020,AFG,Afghanistan,Partially open
3/3/2020,ARM,Armenia,Closed due to COVID-19
3/3/2020,AZE,Azerbaijan,Closed due to COVID-19
3/3/2020,BHR,Bahrain,Closed due to COVID-19
3/3/2020,CHN,China,Closed due to COVID-19
3/3/2020,DEU,Germany,Partially open
3/3/2020,FRA,France,Partially open
3/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
3/3/2020,GEO,Georgia,Closed due to COVID-19
3/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
3/3/2020,IRQ,Iraq,Partially open
3/3/2020,ITA,Italy,Partially open
3/3/2020,JPN,Japan,Closed due to COVID-19
3/3/2020,KOR,Republic of Korea,Closed due to COVID-19
3/3/2020,KWT,Kuwait,Closed due to COVID-19
3/3/2020,LBN,Lebanon,Closed due to COVID-19
3/3/2020,MNG,Mongolia,Closed due to COVID-19
3/3/2020,PAK,Pakistan,Partially open
3/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
3/3/2020,SMR,San Marino,Closed due to COVID-19
3/3/2020,USA,United States of America,Partially open
3/3/2020,VNM,Viet Nam,Partially open
4/3/2020,AFG,Afghanistan,Partially open
4/3/2020,ARM,Armenia,Closed due to COVID-19
4/3/2020,AZE,Azerbaijan,Closed due to COVID-19
4/3/2020,BHR,Bahrain,Closed due to COVID-19
4/3/2020,CHN,China,Closed due to COVID-19
4/3/2020,DEU,Germany,Partially open
4/3/2020,FRA,France,Partially open
4/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
4/3/2020,GEO,Georgia,Closed due to COVID-19
4/3/2020,IND,India,Partially open
4/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
4/3/2020,IRQ,Iraq,Partially open
4/3/2020,ITA,Italy,Partially open
4/3/2020,JPN,Japan,Closed due to COVID-19
4/3/2020,KOR,Republic of Korea,Closed due to COVID-19
4/3/2020,KWT,Kuwait,Closed due to COVID-19
4/3/2020,LBN,Lebanon,Closed due to COVID-19
4/3/2020,MNG,Mongolia,Closed due to COVID-19
4/3/2020,PAK,Pakistan,Partially open
4/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
4/3/2020,SMR,San Marino,Closed due to COVID-19
4/3/2020,USA,United States of America,Partially open
4/3/2020,VNM,Viet Nam,Partially open
5/3/2020,AFG,Afghanistan,Partially open
5/3/2020,ARM,Armenia,Closed due to COVID-19
5/3/2020,AZE,Azerbaijan,Closed due to COVID-19
